方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
疏凿饮子,表里双解剂,泽泻：，12g；赤小豆：炒，15g；商陆：，6g；羌活：去芦，9g；大腹皮：，15g；椒目：，9g；木通：，12g；秦艽：去芦，9g；槟榔：，9g；茯苓：皮，15g；
四君子汤,补益剂,人参：去芦，9g；白术：9g；茯苓：去皮，9g；甘草：炙，6g；水：，一盏；
异功散,补益剂,人参：切&去顶，6g；茯苓：去皮，6g；白术：6g；陈皮：锉，6g；甘草：炒，6g；水：，一盏；生姜：，五片；枣：，二个；
六君子汤,补益剂,茯苓：，3g；甘草：，3g；人参：，3g；白术：，4.5g；陈皮：，3g；半夏：，4.5g；枣：，二枚；生姜：，三片；
香砂六君子汤,补益剂,人参：，3g；白术：，6g；甘草：，2g；茯苓：，6g；陈皮：，2.5g；半夏：，3g；砂仁：，2.5g；木香：，2g；生姜：，6g；
保元汤,补益剂,人参：，3g；黄芪：灌脓时酒炒|回浆时蜜灸，9g；炙甘草：，3g；肉桂：，1.5g；生姜：，一片；
参苓白术散,补益剂,莲子肉：去皮，9g；薏苡仁：，9g；缩砂仁：，6g；桔梗：炒令深黄色，6g；白扁豆：姜汁浸&去皮&微炒，12g；白茯苓：，15g；人参：去芦，15g；甘草：炒，10g；白术：，15g；山药：，15g；
七味白术散,补益剂,人参：，6g；白茯苓：，12g；炒白术：，12g；甘草：，3g；藿香叶：，12g；木香：，6g；葛根：，15g；
补中益气汤,补益剂,黄芪：，18g；甘草：炙，9g；人参：去芦，9g；当归身：酒焙干|晒干，3g；橘皮：不去白，6g；升麻：，6g；柴胡：，6g；白术：，9g
玉屏风散,补益剂,防风：，15g；黄芪：蜜炙，30g；白术：，30g；水:，一盏半；大枣：，一枚
生脉散,补益剂,人参：，9g；麦冬：，9g；五味子：，6g
四物汤,补益剂,当归：去芦&酒浸炒，9g；川芎：，6g；白芍药：，9g；熟地黄：酒蒸，15g；
胶艾汤,补益剂,川芎：，6g；阿胶：，6g；甘草：，6g；艾叶：，9g；当归：，9g；芍药：，12g；干地黄：，15g；水：，五升；清酒：，三升；
圣愈汤,补益剂,熟地：，20g；白芍：酒拌，15g；川芎：，8g；人参：，15g；当归：酒洗，15g；黄芪：炙，15g；
桃红四物汤,补益剂,"当归：去芦&酒浸炒，9g；川芎：，6g；白芍药：，9g；熟地黄：酒蒸，15g；
桃仁：，9g；红花：，6g；"
当归补血汤,补益剂,黄芪：，30g；当归：酒洗，6g；
归脾汤,补益剂,白术：，18g；茯神：去木，18g；黄芪：去芦，18g；龙眼肉：，18g；酸枣仁：炒&去壳，18g；人参：，9g；木香：不见火，9g；甘草炙，6g；当归：，3g；远志：，3g；水：，一盏半；生姜：，五片；枣子：，一枚；
八珍汤,补益剂,人参：，10g；白术：，10g；白茯苓：，10g；当归：，10g；川芎：，10g；白芍药：，10g；熟地黄：，10g；甘草：炙，5g；生姜：，三片；大枣：，五枚；
